reviewTitle,reviewDetails,reviewDate,reviewFor,reviewRating,reviewLocation
Excellent family holiday,"We stayed two weeks in this resort and were impressed with the grounds and facilities on offer.

The grounds and swimming pools are extremely well maintained and provide ample space for families to relax and enjoy the Mexican sun. There is a choice of pools from quiet spaces to the activities area where you can sit and be entertained. The beach area is equally well set out and provides loads of things to do including free kayaks, games of volleyball and beach soccer. The gym and spa facilities are amazing and can be accessed by everyone with Spa prices very reasonable.

The rooms themselves could do with a bit of attention as they were below the standard I had expected for the price we paid but again we were in our room very little.

We ate at most of the restaurants and the buffet and would definitely recommend the steakhouse and the teppanyaki restaurants. On the whole the food was excellent and the beach grill burgers were absolutely fantastic. Top tip is to book as many nights as you can in the main restaurants.

Take as many small peso notes (20 -100) as you can as larger notes are hard to change and you always need tips!

The hotel runs a shuttle service into Playa del Carmen at 50 pesos each but you can get a taxi for four at a cost of 240 pesos at any time. These are strictly regulated and a fair price for the length of the journey. Get cash out while you're in Playa as the peso machines in the hotel are rarely full.

Enjoy your holiday",Date of stay: July 2016,Grand Riviera Princess,4,"Playa del Carmen, Mexico"
Awesome battle!,"We booked a half day trip with two adults and two kids ( 11 and 13) and were put on a boat ourselves which seemed like a great deal.

After trawling for an hour with only a couple of interested bites we asked to go bottom fishing so that the kids would keep interested. The fun began then with everyone pulling in fish right, left and centre. After another hour my line struck hard and I spent a good ten minutes fighting a large yellowfin tuna which was the highlight of our day.

I would recommend this trip but book direct with the shop as it's much cheaper than going with an agent in your hotel.",Date of experience: July 2016,Captain Ricks Sport Fishing,4,"Playa del Carmen, Mexico"
"Excellent seafood, top class service","On a very busy day our family of four was welcomed into the main dining room around 6.00pm. The service from all of the staff was absolutely outstanding, very friendly and helpful from start to finish.

We chose a sharing starter for four which was a big plate of seafood with a whole lobster, some well prepared mussels and shrimp and some really tasty home made fish fingers. We'd had a big lunch so went straight for dessert and there were some excellent choices on the menu.

I'm very happy with our meal there and would definitely return.",Date of visit: April 2016,Nether Abbey Hotel,4,"North Berwick, United Kingdom"
Great value for takeout,"Despite it being hidden away down a side street this is a good value restaraunt serving decent meals.

The staff are attentive and a bit quirky but do there job really well. We had takeout pizza several times from here and it was really cheap ( 4-5 euros for a 12 inch pizza)",Date of visit: July 2015,Ristorante Moonlight,4,"Sant'Agnello, Italy"
Very hot,"We took an organised tour around Pompeii lasting two hours which was just at the limit of our kids patience.

Having done Vesuvius in the morning it was nice to be on the flat ground and I was glad of my trainers. While you can do this yourself with an audio guide the city itself is so vast (60 acres) we thought the tour would be best.

We learned loads about Ancient Rome and were able to take some good pictures despite the crowds. As with all archaeological sites in Italy the kids were free but if they do look near 18 then proof is required.

There were loads of water fountains so bring your bottle, top tip is to freeze a couple of small bottles overnight as the fountain water is not that cold.

Plenty stalls outside sell water and food if you wish.",Date of experience: July 2015,Pompeii Archaeological Park,4,"Pompeii, Italy"
Fish without the fuss,"A unique rustic experience awaits you in this out of the way restaurant. Huge portions of fresh mussels and soft fried fish provide an ample starter for everyone, add to this a gifted bowl of chickpeas with smoked mackerel meant we were almost full before we began.

The staff have an excellent knowledge of the menu and are more than happy to help you make a choice.

Wine comes in carafes and is good value, water flows freely all night! We took a good two hours in a marathon night of eating and we were not disappointed by any of the food. It can get a bit hot inside so dress appropriately in the summer months",Date of visit: July 2015,Osteria Melafumo,4,"Livorno, Italy"
Rome's past revealed,I'm a fan of history so this stroll around the ruins of Rome was informative and interesting. The ticket came as an add on to our family coliseum visit but the kids had had enough so I ventured on my own. The Palantine hill gardens were a nice stroll and you could sit and have a drink in the shade. ( remember some insect repellent here). The rest of the ruins were impressive to me and its nice to see Italy taking care of its past.,Date of experience: July 2015,Palatine Hill,4,"Rome, Italy"
No Pizza!,"A fantastic restaurant to take a break from tourist fast food. Serving a few regional dishes from Pisa with an emphasis on home made this was a joy. The staff were keen to help us out interpreting the menu and we plumped for the Tuscan soup, pork steak and Rabbitt with olives. It's been years since I've had Rabbitt and this was an absolute treat for me. I washed it down with a half carafe of red and after a wee dessert there was still change from 60 euros!

If you like real food then this is the place to visit, if you're a pizza/pasta tourist then don't bother.",Date of visit: July 2015,Trattoria S. Omobono,4,"Pisa, Italy"
Amazing but expensive,"This was probably the best organised of Italy's monuments and was the easiest to manage. It is however the most expensive for families to visit. If you can't prove your kids are under 11 then you will all pay 18 euros which for a family of 4 was a tad expensive.

The good points are you get a specific time slot and once you have tickets you can go away and wander the streets, have lunch or see the other attractions in the square.

No bags are allowed in the tower but across the grass a free cloakroom allows you to store your bags, cameras are allowed. There is a short explanation at the bottom before a spiral 147 steps takes you to balcony one then around 30 steps to the bell tower. Beautiful architecture and stunning views in a non crowded ( max 35) tower.",Date of experience: July 2015,Leaning Tower of Pisa,4,"Pisa, Italy"
"Great park, but plan your transport","As a waterpark it lacks some of the excitement that others have and the slides can seem a bit tame. There are two rubber ring tubes, 4 single person tubes, two sheer drop slides ( not huge ) and a 6 lane open slide. There are also a few smaller kids slides in one of the pools. That said it's well managed and very safe and has a better atmosphere than some of the parks I have been in before, both my kids ( 10 and 12) were happy.

Where this park exceeds others is in the entertainment offered. At several points throughout the day we had foam parties, a rave in the pool, exercise classes, kids entertainment in the pool and some reasonably priced food!

We arrived in the afternoon and paid 56 euros for a family of 4 and then finally managed to find some shade and an umbrella on a grass bank. You can pay for a gold standard entry and be guaranteed a bed but we chanced it.

The downside for us was getting there. Having followed some directions to get to Cornelia metro stop we then waited for the fabled 906 bus and waited......and waited. After almost an hour we gave up and got a cab which cost 13 euros and took about ten minutes ( much better than the advertised 30 minute bus). On the way back we got the park to call us a cab and again it was only 13 euros. The bus stop is only round the corner to the left of the exit but as with all Italian buses there is no timetable!

If you can arrange your transport this is a fantastic day out!",Date of experience: July 2015,Hydromania,4,"Rome, Italy"
Free and less crowds,"If you are a fan of architecture then this beautiful building is a must. It's free entry and is set in a wonderful square where you can sit and admire.

Free from crowds means in relation to the colloseum and the Vatican. It's still busy but you can move, take your time and generally see what you want to see.

Our kids came and went in and out as we looked over the resting place of Raphael and the stunning architecture.

Not far round the corner is Piazza Navona where you can sip on a vastly overpriced beer or just sit in the square and watch the world go by.",Date of experience: July 2015,Pantheon,4,"Rome, Italy"
Do your homework!,"This can be a good day trip if you do your internet research. I would advise to buy tickets online and if you can print at home even better. Kids still need tickets and online they cost two Euros ( a booking fee ). We went for an audio tour costing 11 euro for two guides and a map and we were off, it took us 15 mins to enter having booked online. Remember it is Rome in July and is punishingly hot, take plenty water(there are taps inside you can fill up with). Be prepared for being jostled and hassled outside by sellers and tour guides and jstled and hassled by tourists inside but it is worth it. The nicest part of the day is using the joint entry to tour the forumad the palantine hill!",Date of experience: July 2015,Colosseum,4,"Rome, Italy"
Ice Hockey for Football daft kids,"We had a fantastic day out at this attraction despite knowing very little about Ice Hockry. Our kids aged 9 and 11 were fascinated by the jerseys and the all star player profiles. The chance to be a goalkeeper and have a go at shooting some pucks kept them amused for ages. I was totally fascinated by the old players cards and seeing the trophy room and the Stanley Cup made it a really special day.

Good tip, pick up a wee info card and get a free Hall of Fame bracelet for the kids.",Date of experience: July 2014,Hockey Hall of Fame,4,"Toronto, Canada"
"Surprise, No Fries!","A haven away from the endless parade of restaurants offering burgers, pizzas and fries, this wonderful Ramen house serves up some authentic and tasty dishes well within the family budget. Sticking to four main dishes they offer noodles to everyone's palate and add some excellent dumplings and extra meat if the carnivore in you isn't happy. The setting on Dundas street is unassuming and the clean and plain interior seats businessmen next to families as we ate our way through a tasty and generous bowl. Such a winner we went twice in a week.",Date of visit: July 2014,Hokkaido Ramen Santouka,4,"Toronto, Canada"
Prepare to pay!,We probably chose the wrong day for this trip as we tried to do it on a Saturday and it was absolutely mobbed! The queue for the Ferry was over an hour and as a result we took a Water Taxi which was about ten dollars dearer. The amusement park was a huge disappointment for my kids as all the rides are aimed at very young ones and operate at a horrendously extortionate rate. We hired some bikes which at eight dollars an hour wasn't really the best either. Despite this the island itself is stunning with some beautiful shorelines and gardens and if it hadn't been so crowded would have been awesome. Try and go on a week day to avoid disappointment.,Date of experience: July 2014,Toronto Island Park,4,"Toronto, Canada"
Great hotel in a good location,"We stayed here in July this year and I was very impressed with our room and all the staff who worked in the Hotel. The place is very clean and everything about our room looked like it was almost new. We had a queen room on the seventh floor with two large beds and two televisions perfect for a family of four. The room was serviced daily and the hotels excellent Eco policy was adhered to with recycling collected and towels only when we needed them.

Staff could not have been more helpful, especially the concierge who made sure we didn't get lost in the city. The front desk staff were happy to print all our documents and the internet was easily accessible in the lobby. Free WiFi might have made the hotel more attractive for me but there was a reasonable weekly charge (around forty dollars).
The hotel was a hop away from Dundas square and within easy walking distance of loads of attractions and restaurants. Forget the airport shuttle as the hotel limo can whizz you to Pearson faster and as the movie says for only a Few Dollars More.",Date of stay: July 2014,Bond Place Hotel,4,"Toronto, Canada"
Fully stuffed! Crepes and Kids!,Took both our kids ( 9 and 11 ) for breakfast here and found that we could barely move after consuming an amazing stuffed crepe. Sweet and savoury were both on offer with a good choice of daily specials even at that time in the morning. Service was as good as we have come to expect in Canada and my coffee was just what I needed. A bit on the expensive side for breakfast compared to the UK but we skipped lunch as we had eaten so much!,Date of visit: July 2014,The Crepe House,4,"Port Dover, Canada"
Massive meals!,"Spent a nice evening in here eating with the kids. The portion sizes were huge and we ate enough to sink the ship! I felt they could make more of the fact that the fish is local and done a bit more than just fry it, everything seemed to come in a nice even brown coating. It was still a very good meal but I wanted a bit more from this promising place.",Date of visit: July 2014,Fisherman's Catch Bar,4,"Port Dover, Canada"
Zippy Day Doo Dah!,"What an awesome day my son and I had on the zip lines. Dutchie and Drew could not have been nicer hosts as we learned how to work the wires. All the interesting information on the way round helped to make this a tour as well as an adventure. As for the Zipping well it was incredible, particularly the last Bombers Run at 800ft ! We had an absolute blast, back soon for a half day kayaking.",Date of experience: July 2014,Long Point Eco-Adventures,4,"Turkey Point, Canada"
Great Sunday Family Lunch,The well appointed menu didn't disappoint any of our party of four adults and three kids and they were more than happy to adjust some of the kids meals. A great family atmosphere and the Sunday roasts were all superb. The Med has undergone several transformations over the last few years and I feel now they've struck a good balance. Staff were great and when I went online I was surprised to receive a 25% discount voucher which really meant the kids ate free. There is a plethora of good eating places in Bridge of Allan and now the Med is really able to compete with the best of them. We'll all be back again!,Date of visit: May 2014,The Meadowpark Pub & Kitchen,4,"Bridge of Allan, United Kingdom"
Great place for a family outing,"A great place to spend a sunny afternoon with the kids, a free playground and always full of of other frazzled parents trying to find things for the kids to do. The added bonus is the reasonably priced food and the opportunity in the summer months to pick fresh fruit and take it home.

The play area has trampolines, some go karts ( in need of a bit of repair if I'm honest ) , a smaller track for young kids, a zip wire, a multi play area and a giant fort that my boys love to run around. There's always a football kicking about and you can happily spend an hour or two watching the world go by.

There are seats inside and out and a small farm shop if you want the taste of Angus to stay with you just that bit longer.

The best bit........no charge for the play area!!!",Date of experience: July 2013,Charleton Fruit Farm,4,"Montrose, United Kingdom"
