reviewTitle,reviewDetails,reviewDate,reviewFor,reviewRating,reviewLocation
Great! For the small time spent there,"I've just taken my little boy here as part of visiting York for the Viking festival and left feeling rather miffed. It's 20 years since I visited and ten years since I worked round the corner but I remembered the queues being HUGE for this place at weekends and during the holidays so thought it would be worth a visit.
A very expensive half hour that was!
We booked tickets online so saved ourself from the queues but we couldn't believe how quickly we were round it- and we stopped to read everything too!!
Do not plan for this to take up your day/morning/afternoon but still worth a visit",,Jorvik Viking Centre,1,"York, United Kingdom"
Cracking steak,"I went to the fat olive last night with a bunch of colleagues and had a rump steak. I don't normally eat rump as I tend to find it tough, it was anything but! Lovely and juicy and tender and melted in my mouth.
We ate off the 2 courses for £12 (ish) menu, I really enjoyed my meal! Shall be returning!

Thanks",,Fat Olive Wigan,1,"Wigan, United Kingdom"
About time,"Just what we needed in Ash!!
Had a cracking meal! Have recommended to several colleagues already! Cracking burger and the kids menu is extremely good value! Well done!!",,The Fat Bull,1,"Ashton in Makerfield, United Kingdom"
Great!!,Stayed here to do a site inspection for a school visit to Disney. Cracking! Can't understand the negatives to be honest! To be honest the only bad points were no kettle in the room and the wifi was temperamental. Beds wets cracking and as a person who doesn't sleep very well in beds that aren't my own I had a fab nights sleep! I'd certainly take my little boy to stay here. The shuttle to the park was regular and had no probs at all!! Great great great!!,Date of stay: January 2014,Campanile Val de France,1,"Magny-le-Hongre, France"
Wicked!!,"Have visited three times this week and loved it!
My little boy loved the Warwick Warriors, Horrible Histories actors, the birds of prey displays, the firing of the trebuchet and the jousting!
It's a great day out, and to those that moan about the cost, simple- get a buy one get one free voucher- they're everywhere!!! It's not expensive at all- I've just returned from France and paid €15 to just park my car at Disneyland Paris and €10 at Parc Asterix- where it was four quid for an ice cream! If you don't like the price go to your local park! It's free!!
Seriously tho, we loved it, will prob be back in the October hols! Cheers folks!!!",Date of experience: August 2013,Warwick Castle,1,"Warwick, United Kingdom"
It's ok,"Camped here for three nights so we could go back to Disney and visit Parc Asterix on our way back from Holland.
It's ok, not a 4* tho by any means. The toilets are cleanish but there is no soap or facilities to dry your hands whatsoever! I think that's a basic right when paying €30 a night to pitch a tent!
The snack bar was good, food reasonably priced, me and my little boy had a pizza each, wish we'd have shared one as they were huge!!!!
Beware, the shop is extortionately priced! Take things with you if you don't enjoy being ripped off,.. Also take hand washing liquid just in case... Had to wash a jacket that my little boy had bought and got chocolate all over in Disney and the machine cost €4.50 and a euro for the liquitab!!
If camping beware the ground is very hard to put pegs in!
Took 50 mins to get to Parc Asterix and 35 to Disney... Not as close as the websites state!
If going to the parks take LOTS of money- it's €10 and €15 just to park!!!
Overall good stay, not sure if I'd return tho!",Date of stay: August 2013,Camping Le Village Parisien,1,"Varreddes, France"
It's ok,"Didn't stay in the hotel but went to the water park, was alright but not the best indoor water park, the Sandcastle at Blackpool was miles better, but Splash Landings is pretty much Chav free so both have their plus and minuses!
I'd go again tho",,Alton Towers Waterpark,1,"Alton, United Kingdom"
Wonderful,"We came back early from our little break here not due to LMTP, wholly down to Mother Nature and my crap tent!

Had an excellent few days here, just me and my little boy. Stunning location, the cleanest campsite I've ever had the pleasure of staying in. Beautiful bathroom facilities, modern and spotless, lovely play area and perfect for Alton Towers, we are annual pass holders so can see us returning several times!
Thanks so much for the warm welcome and flexibility when I wanted to change my booking- I've recommended you several times to my many camping Facebook friends!",Date of stay: July 2013,Lower Micklin Touring Park,1,"Denstone, United Kingdom"
Great Value,"It was perfect for what I wanted which was to go to the O2, two mins walk from Blackwall DLR station and lovely and clean. I have to say it was great value for money, £65 inc breakfast for myself and little boy... Bargain! Will definitely be staying there again!",Date of stay: July 2013,Ibis London Docklands Canary Wharf,1,"London, United Kingdom"
Great day out!,"We went Easter Sunday with my seven year old, we will be coming back! The interactive horrible histories attractions were fantastic and the actors were brilliant! It was nice to see one of the actors from Camelots jousting from my school trip last yr!
Tips- take your own picnic, the food was diabolically dreadful and very pricey! Don't think that you've paid to get in so you can see everything, there are additional pay for entry attractions when you get inside!
However, we found the souvenirs to be very reasonable, my son bought about five different things for less than his £15 Easter money!
Great day out, we will be returning as we've decided to get an annual pass and spend our summer around the uk visiting the attractions accessible with the pass!",Date of experience: March 2013,Warwick Castle,1,"Warwick, United Kingdom"
Lovely wedding!!,"Stayed here for my cousins wedding. Had room one with lovely four poster bed, only downside is the room could have do e with an airing as it smelt a bit musty!! Great character tho!!",,Kings Croft Hotel,1,"Pontefract, United Kingdom"
Fantastic day out!,"Something for everyone, unlike Alton towers they aren't baying for your cash at every given opportunity, I'm very impressed and even at the height of summer the queues aren't ridiculous! Longest one was half an hour that was for the water ride which we got drenched on! Loved it! And didn't realise it but you can take dogs! Very impressed!",,Flamingo Land,1,"Malton, United Kingdom"
Amazeballs!!!!,"Out of this world!! Great for all ages, took my mum and my seven year old we all loved it!!!
Oh and butter beer........don't waste your three squid on it, in one word RANK!!",,Warner Bros. Studio Tour London - The Making of Harry Potter,1,"Leavesden, United Kingdom"
Wonderful weekend away!!,"Went for my friends hen do, there were 14 of us in three cabins. We were told no noise after 10;30 and at 10:31 luke came with his torch and told us to quieten down, even tho were weren't that noisy! We were just sat in the hot tub talking!! No mobile signal whatsoever so we all felt like we'd had a limb amputated until we went for a drive out!!
Really beautiful surroundings, loved that the squirrels were visiting us on the balcony and saw a woodpecker! Lovely hen do (even tho they say no hen dos) cant wait to go back for my 30th!!",Date of stay: June 2012,"Forest Holidays Keldy, North Yorkshire",1,"Pickering, United Kingdom"
Great for a hen,"Went as part of a hen party, pre ordered our meal and must say it was lovely! The staff seemed to enjoy our company and made my friend a 'special' dessert! Id go back!!!",,Caesars Italian Restaurant,1,"York, United Kingdom"
Not the best for touring,"Taken our own caravan, hardly any grass, and what there is needs a bloody good cut!! The woman warden is rude, could hardly say she's been to charm school!! Everything is crammed in, no recycling facilities which I find is disgraceful!! The usual 'spend all your money here' motto that haven have! In fairness tho the toilet/ shower facilities are lovely modern and clean but I think that the statics my family are staying in are a let down!!!its just alright!! Would rather a bit more greenery when I go away in the caravan tho!!!",Date of stay: June 2012,Marton Mere Holiday Park - Haven,1,"Blackpool, United Kingdom"
Seagulls playground,"Lovely hotel, food and great staff, however the place is full of seagulls!! Come four in the afternoon they are everywhere, all deciding to take their bath in the pool, hence we didn't go in it!! If you are going I would recommend you take an umbrella as there is a lot of flying bird poo and I didn't enjoy it hitting the leg of my clean trousers, had it been my mum it would have been funny!! Ha ha!!",Date of stay: April 2012,Hotel Paraíso de Albufeira,1,"Albufeira, Portugal"
Fantastic,"Wonderful hotel in a great location, I used to sell this hotel as a reservations agent in my younger years and so glad I did!! Great place to stay for families having a short break in London!!!!!",Date of stay: February 2012,Copthorne Tara Hotel London Kensington,1,"London, United Kingdom"
Basic But Great,"Great hotel, staff more than friendly, can't do enough to help you! The rooms are basic but at the end of the day it is a two star hotel in a third world country! Given that though my room was HUGE! They are basically like an apartment without the kitchen. Air con and fans in the rooms, dining table with cable tv and some comfy chairs in the living area, and a fully stocked fridge! The rooms were cleaned every day (which is a good job as I had a 2 year old with me!). We had room 002 which was great for two reasons, there was no noise and it was completely in the shade so the room never got uncomfortably hot at any time. I was aware of the toilet roll factory at the back but in that room you don't really see what's going on in the building behind!
The waiters are fantastic, we had another 2 year old with us and they were always playing with the boys, Sunny in housekeeping was wonderful and was very quick to wash our clothes when we asked him to do so, they would always come back immaculate and it was dirt cheap to have them washed! Our partyhad loads of beauty treatments done on site, best pedicure ever for about a fiver and I also used the on site tailors and had some beautiful clothes made!
Fantastic food in the restaurant- mega cheap too! Stayed in the hotel one day (all day), had food and drinks for 2 inc lunch and dinner for less than ten quid!
Five minute walk from the beautiful Calangute beach! What else do you need? Great holiday! Can't wait to go back!
(But I would steer clear of the entertainment as the singers were dreadful!)
Oh and the staff decorated the pool area for christmas, it looked lovely!
Well reccommended!",Date of stay: December 2007,Santa Monica Resorte,1,"Calangute, India"
Great! For the small time spent there,"I've just taken my little boy here as part of visiting York for the Viking festival and left feeling rather miffed. It's 20 years since I visited and ten years since I worked round the corner but I remembered the queues being HUGE for this place at weekends and during the holidays so thought it would be worth a visit.
A very expensive half hour that was!
We booked tickets online so saved ourself from the queues but we couldn't believe how quickly we were round it- and we stopped to read everything too!!
Do not plan for this to take up your day/morning/afternoon but still worth a visit",,Jorvik Viking Centre,1,"York, United Kingdom"
Cracking steak,"I went to the fat olive last night with a bunch of colleagues and had a rump steak. I don't normally eat rump as I tend to find it tough, it was anything but! Lovely and juicy and tender and melted in my mouth.
We ate off the 2 courses for £12 (ish) menu, I really enjoyed my meal! Shall be returning!

Thanks",,Fat Olive Wigan,1,"Wigan, United Kingdom"
About time,"Just what we needed in Ash!!
Had a cracking meal! Have recommended to several colleagues already! Cracking burger and the kids menu is extremely good value! Well done!!",,The Fat Bull,1,"Ashton in Makerfield, United Kingdom"
Great!!,Stayed here to do a site inspection for a school visit to Disney. Cracking! Can't understand the negatives to be honest! To be honest the only bad points were no kettle in the room and the wifi was temperamental. Beds wets cracking and as a person who doesn't sleep very well in beds that aren't my own I had a fab nights sleep! I'd certainly take my little boy to stay here. The shuttle to the park was regular and had no probs at all!! Great great great!!,Date of stay: January 2014,Campanile Val de France,1,"Magny-le-Hongre, France"
Wicked!!,"Have visited three times this week and loved it!
My little boy loved the Warwick Warriors, Horrible Histories actors, the birds of prey displays, the firing of the trebuchet and the jousting!
It's a great day out, and to those that moan about the cost, simple- get a buy one get one free voucher- they're everywhere!!! It's not expensive at all- I've just returned from France and paid €15 to just park my car at Disneyland Paris and €10 at Parc Asterix- where it was four quid for an ice cream! If you don't like the price go to your local park! It's free!!
Seriously tho, we loved it, will prob be back in the October hols! Cheers folks!!!",Date of experience: August 2013,Warwick Castle,1,"Warwick, United Kingdom"
It's ok,"Camped here for three nights so we could go back to Disney and visit Parc Asterix on our way back from Holland.
It's ok, not a 4* tho by any means. The toilets are cleanish but there is no soap or facilities to dry your hands whatsoever! I think that's a basic right when paying €30 a night to pitch a tent!
The snack bar was good, food reasonably priced, me and my little boy had a pizza each, wish we'd have shared one as they were huge!!!!
Beware, the shop is extortionately priced! Take things with you if you don't enjoy being ripped off,.. Also take hand washing liquid just in case... Had to wash a jacket that my little boy had bought and got chocolate all over in Disney and the machine cost €4.50 and a euro for the liquitab!!
If camping beware the ground is very hard to put pegs in!
Took 50 mins to get to Parc Asterix and 35 to Disney... Not as close as the websites state!
If going to the parks take LOTS of money- it's €10 and €15 just to park!!!
Overall good stay, not sure if I'd return tho!",Date of stay: August 2013,Camping Le Village Parisien,1,"Varreddes, France"
It's ok,"Didn't stay in the hotel but went to the water park, was alright but not the best indoor water park, the Sandcastle at Blackpool was miles better, but Splash Landings is pretty much Chav free so both have their plus and minuses!
I'd go again tho",,Alton Towers Waterpark,1,"Alton, United Kingdom"
Wonderful,"We came back early from our little break here not due to LMTP, wholly down to Mother Nature and my crap tent!

Had an excellent few days here, just me and my little boy. Stunning location, the cleanest campsite I've ever had the pleasure of staying in. Beautiful bathroom facilities, modern and spotless, lovely play area and perfect for Alton Towers, we are annual pass holders so can see us returning several times!
Thanks so much for the warm welcome and flexibility when I wanted to change my booking- I've recommended you several times to my many camping Facebook friends!",Date of stay: July 2013,Lower Micklin Touring Park,1,"Denstone, United Kingdom"
Great Value,"It was perfect for what I wanted which was to go to the O2, two mins walk from Blackwall DLR station and lovely and clean. I have to say it was great value for money, £65 inc breakfast for myself and little boy... Bargain! Will definitely be staying there again!",Date of stay: July 2013,Ibis London Docklands Canary Wharf,1,"London, United Kingdom"
Great day out!,"We went Easter Sunday with my seven year old, we will be coming back! The interactive horrible histories attractions were fantastic and the actors were brilliant! It was nice to see one of the actors from Camelots jousting from my school trip last yr!
Tips- take your own picnic, the food was diabolically dreadful and very pricey! Don't think that you've paid to get in so you can see everything, there are additional pay for entry attractions when you get inside!
However, we found the souvenirs to be very reasonable, my son bought about five different things for less than his £15 Easter money!
Great day out, we will be returning as we've decided to get an annual pass and spend our summer around the uk visiting the attractions accessible with the pass!",Date of experience: March 2013,Warwick Castle,1,"Warwick, United Kingdom"
Lovely wedding!!,"Stayed here for my cousins wedding. Had room one with lovely four poster bed, only downside is the room could have do e with an airing as it smelt a bit musty!! Great character tho!!",,Kings Croft Hotel,1,"Pontefract, United Kingdom"
Fantastic day out!,"Something for everyone, unlike Alton towers they aren't baying for your cash at every given opportunity, I'm very impressed and even at the height of summer the queues aren't ridiculous! Longest one was half an hour that was for the water ride which we got drenched on! Loved it! And didn't realise it but you can take dogs! Very impressed!",,Flamingo Land,1,"Malton, United Kingdom"
Amazeballs!!!!,"Out of this world!! Great for all ages, took my mum and my seven year old we all loved it!!!
Oh and butter beer........don't waste your three squid on it, in one word RANK!!",,Warner Bros. Studio Tour London - The Making of Harry Potter,1,"Leavesden, United Kingdom"
Wonderful weekend away!!,"Went for my friends hen do, there were 14 of us in three cabins. We were told no noise after 10;30 and at 10:31 luke came with his torch and told us to quieten down, even tho were weren't that noisy! We were just sat in the hot tub talking!! No mobile signal whatsoever so we all felt like we'd had a limb amputated until we went for a drive out!!
Really beautiful surroundings, loved that the squirrels were visiting us on the balcony and saw a woodpecker! Lovely hen do (even tho they say no hen dos) cant wait to go back for my 30th!!",Date of stay: June 2012,"Forest Holidays Keldy, North Yorkshire",1,"Pickering, United Kingdom"
Great for a hen,"Went as part of a hen party, pre ordered our meal and must say it was lovely! The staff seemed to enjoy our company and made my friend a 'special' dessert! Id go back!!!",,Caesars Italian Restaurant,1,"York, United Kingdom"
Not the best for touring,"Taken our own caravan, hardly any grass, and what there is needs a bloody good cut!! The woman warden is rude, could hardly say she's been to charm school!! Everything is crammed in, no recycling facilities which I find is disgraceful!! The usual 'spend all your money here' motto that haven have! In fairness tho the toilet/ shower facilities are lovely modern and clean but I think that the statics my family are staying in are a let down!!!its just alright!! Would rather a bit more greenery when I go away in the caravan tho!!!",Date of stay: June 2012,Marton Mere Holiday Park - Haven,1,"Blackpool, United Kingdom"
Seagulls playground,"Lovely hotel, food and great staff, however the place is full of seagulls!! Come four in the afternoon they are everywhere, all deciding to take their bath in the pool, hence we didn't go in it!! If you are going I would recommend you take an umbrella as there is a lot of flying bird poo and I didn't enjoy it hitting the leg of my clean trousers, had it been my mum it would have been funny!! Ha ha!!",Date of stay: April 2012,Hotel Paraíso de Albufeira,1,"Albufeira, Portugal"
Fantastic,"Wonderful hotel in a great location, I used to sell this hotel as a reservations agent in my younger years and so glad I did!! Great place to stay for families having a short break in London!!!!!",Date of stay: February 2012,Copthorne Tara Hotel London Kensington,1,"London, United Kingdom"
Basic But Great,"Great hotel, staff more than friendly, can't do enough to help you! The rooms are basic but at the end of the day it is a two star hotel in a third world country! Given that though my room was HUGE! They are basically like an apartment without the kitchen. Air con and fans in the rooms, dining table with cable tv and some comfy chairs in the living area, and a fully stocked fridge! The rooms were cleaned every day (which is a good job as I had a 2 year old with me!). We had room 002 which was great for two reasons, there was no noise and it was completely in the shade so the room never got uncomfortably hot at any time. I was aware of the toilet roll factory at the back but in that room you don't really see what's going on in the building behind!
The waiters are fantastic, we had another 2 year old with us and they were always playing with the boys, Sunny in housekeeping was wonderful and was very quick to wash our clothes when we asked him to do so, they would always come back immaculate and it was dirt cheap to have them washed! Our partyhad loads of beauty treatments done on site, best pedicure ever for about a fiver and I also used the on site tailors and had some beautiful clothes made!
Fantastic food in the restaurant- mega cheap too! Stayed in the hotel one day (all day), had food and drinks for 2 inc lunch and dinner for less than ten quid!
Five minute walk from the beautiful Calangute beach! What else do you need? Great holiday! Can't wait to go back!
(But I would steer clear of the entertainment as the singers were dreadful!)
Oh and the staff decorated the pool area for christmas, it looked lovely!
Well reccommended!",Date of stay: December 2007,Santa Monica Resorte,1,"Calangute, India"
